task,model,validation,n_observations,n_fruits,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,ordinal_mae,ordinal_mae_ci_low,ordinal_mae_ci_high,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,r2,r2_ci_low,r2_ci_high
ripening_stage_classification,Prior-only dummy,5-fold stratified grouped CV; group=biological fruit,14710,478,0.242556084296397,0.232946262032668,0.2511528351719537,0.2,0.2,0.2,0.07808294124083598,0.07557385709975992,0.08029485375004204,1.97675050985724,1.9423033512040029,2.0108884045089446,,,,,,,,,
ripening_stage_classification,Multinomial logistic,5-fold stratified grouped CV; group=biological fruit,14710,478,0.7042828008157715,0.6928690167342266,0.7164490844317685,0.6992144680516021,0.6881885976804555,0.7109404121465042,0.697841317722719,0.6867508065512927,0.7098326288788988,0.3205302515295717,0.30504748760095873,0.335848751832547,,,,,,,,,
ripening_stage_classification,Random forest,5-fold stratified grouped CV; group=biological fruit,14710,478,0.7369136641740313,0.7242502576279659,0.7498983283121212,0.7258924304517738,0.7141659796444259,0.7386688567864172,0.7270245232682724,0.7151692968822614,0.7394700721251097,0.2804894629503739,0.2654906265290876,0.29578001330129833,,,,,,,,,
ripening_stage_classification,Histogram gradient boosting,5-fold stratified grouped CV; group=biological fruit,14710,478,0.7387491502379334,0.7265418021642183,0.7508286204998987,0.7307329032777372,0.7191989626706348,0.7427908709376285,0.7303606557954695,0.7185164711687021,0.7421985382879497,0.27838205302515295,0.26378649354412487,0.292955558807693,,,,,,,,,
days_to_stage4_regression,Median dummy,5-fold grouped CV; group=biological fruit,8834,426,,,,,,,,,,,,,3.7457550373556714,3.6147321428571426,3.8760861200376593,4.754345747474548,4.596590998561085,4.907503451952687,-0.033650106477298936,-0.05424925632290926,-0.017681994472555043
days_to_stage4_regression,Ridge regression,5-fold grouped CV; group=biological fruit,8834,426,,,,,,,,,,,,,2.1578311635565885,2.083213988250287,2.23337566598201,2.9775613612576457,2.783503028426249,3.250997990013464,0.5945722501573343,0.5147379845100314,0.645446947439756
days_to_stage4_regression,Random forest regressor,5-fold grouped CV; group=biological fruit,8834,426,,,,,,,,,,,,,1.8807773328115682,1.8101280802119906,1.9478655177175088,2.65627333652285,2.569635319055749,2.7403639787619514,0.6773456263040243,0.6522556197364403,0.6991327057276054
days_to_stage4_regression,Histogram gradient boosting regressor,5-fold grouped CV; group=biological fruit,8834,426,,,,,,,,,,,,,1.8531579960773636,1.7828036430824317,1.9216353867430942,2.636081004555044,2.5424532433284606,2.7273344874101664,0.6822324584526356,0.6551926734345436,0.7044588731766113
