task,model,fold,accuracy,balanced_accuracy,macro_f1,ordinal_mae,mae,rmse,r2
ripening_stage_classification,Prior-only dummy,1,0.24351978171896316,0.2,0.07833241908941305,1.9686221009549796,,,
ripening_stage_classification,Multinomial logistic,1,0.6913369713506139,0.6866583135369384,0.6854011346732862,0.3281036834924966,,,
ripening_stage_classification,Random forest,1,0.7210095497953616,0.7102917686641349,0.71131306010084,0.2957025920873124,,,
ripening_stage_classification,Histogram gradient boosting,1,0.7271487039563438,0.7190772403495034,0.7183930544391656,0.2909276944065484,,,
ripening_stage_classification,Prior-only dummy,2,0.2435723951285521,0.2,0.07834602829162132,1.9857916102841677,,,
ripening_stage_classification,Multinomial logistic,2,0.7134641407307172,0.7117316293462103,0.7087738827238348,0.3125845737483085,,,
ripening_stage_classification,Random forest,2,0.7341001353179973,0.7260853796599004,0.7266462069901735,0.2845060893098782,,,
ripening_stage_classification,Histogram gradient boosting,2,0.7347767253044655,0.7270292429472529,0.7266571025010771,0.28349120433017594,,,
ripening_stage_classification,Prior-only dummy,3,0.23650034176349966,0.2,0.07650635710337203,1.9569377990430623,,,
ripening_stage_classification,Multinomial logistic,3,0.6975393028024607,0.6923143232499913,0.6900045491391602,0.3287764866712235,,,
ripening_stage_classification,Random forest,3,0.7368421052631579,0.7257939369749367,0.7263958015265535,0.2843472317156528,,,
ripening_stage_classification,Histogram gradient boosting,3,0.7351332877648667,0.7282817228227285,0.7273343473532575,0.28810663021189337,,,
ripening_stage_classification,Prior-only dummy,4,0.22839506172839505,0.2,0.0743718592964824,2.0150891632373114,,,
ripening_stage_classification,Multinomial logistic,4,0.6978737997256516,0.6934547200815449,0.6935056381337932,0.33573388203017834,,,
ripening_stage_classification,Random forest,4,0.7318244170096022,0.7219262783563608,0.723397662776641,0.2880658436213992,,,
ripening_stage_classification,Histogram gradient boosting,4,0.7349108367626886,0.7273859331089075,0.7283620175065939,0.27949245541838136,,,
ripening_stage_classification,Prior-only dummy,5,0.26040268456375837,0.2,0.08264110756123536,1.957718120805369,,,
ripening_stage_classification,Multinomial logistic,5,0.7208053691275168,0.7139405744412389,0.711275830491155,0.2979865771812081,,,
ripening_stage_classification,Random forest,5,0.7604026845637584,0.7482544123357083,0.7478181556637683,0.25033557046979865,,,
ripening_stage_classification,Histogram gradient boosting,5,0.7614093959731544,0.753288341200202,0.7505197100105979,0.25033557046979865,,,
days_to_stage4_regression,Median dummy,1,,,,,3.662442396313364,4.643388838750649,-0.02352176718490373
days_to_stage4_regression,Ridge regression,1,,,,,2.2624758895148873,2.9138581669309054,0.5969454817512907
days_to_stage4_regression,Random forest regressor,1,,,,,1.9411055583370151,2.6365140136587186,0.6700203595180263
days_to_stage4_regression,Histogram gradient boosting regressor,1,,,,,1.93619819608776,2.6656449920463063,0.6626881511970857
days_to_stage4_regression,Median dummy,2,,,,,3.7248858447488584,4.755554310871969,-0.030879329143350454
days_to_stage4_regression,Ridge regression,2,,,,,2.230644004154361,2.9007350274232158,0.6164502905754871
days_to_stage4_regression,Random forest regressor,2,,,,,1.990506120562772,2.773250131049192,0.6494228356270367
days_to_stage4_regression,Histogram gradient boosting regressor,2,,,,,1.9425049376115038,2.715121901408808,0.663965238718647
days_to_stage4_regression,Median dummy,3,,,,,3.8097826086956523,4.812687037585047,-0.048791598445452555
days_to_stage4_regression,Ridge regression,3,,,,,2.1287512324199374,2.857262464553459,0.6303299812143937
days_to_stage4_regression,Random forest regressor,3,,,,,1.8553854198456181,2.6537883633246575,0.6811058675327606
days_to_stage4_regression,Histogram gradient boosting regressor,3,,,,,1.8448164612602913,2.6747127919812526,0.6760572481501343
days_to_stage4_regression,Median dummy,4,,,,,3.704191616766467,4.7352670981707,-0.019366968600766254
days_to_stage4_regression,Ridge regression,4,,,,,2.077122112288949,2.8276392303258633,0.6365124069695884
days_to_stage4_regression,Random forest regressor,4,,,,,1.7986429051696389,2.6057232189123942,0.6913273427781803
days_to_stage4_regression,Histogram gradient boosting regressor,4,,,,,1.74241999643232,2.5450805248486548,0.7055275631500179
days_to_stage4_regression,Median dummy,5,,,,,3.818082788671024,4.814986589863615,-0.04918116770294412
days_to_stage4_regression,Ridge regression,5,,,,,2.09195962102799,3.338677751490572,0.4955602185015624
days_to_stage4_regression,Random forest regressor,5,,,,,1.8191820051247953,2.6084042426690472,0.6920996953281588
days_to_stage4_regression,Histogram gradient boosting regressor,5,,,,,1.7984669583239723,2.573004857537082,0.7004001890408605
